adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/cL9SKflLUzV2aWgqv5qZ8BeDV4a.jpg,[27],1007205,en,York Witches Society,"After initiation into The York Witches Society, Amber Gray and her new friends unwittingly awaken an ancient evil hellbent on destroying the Gray bloodline. As the witch hunt begins, the young women realize they may not make it through the night.",4.739,/8vyaZsMiGQZZebpaNzemAGXVHVX.jpg,2022-08-26,York Witches Society,False,3,1
False,,[27],848887,en,Outpost,"Nightmare on a mountain, about a woman fighting demons – and the demons are winning.",6.904,,2022-10-29,Outpost,False,0,0
False,/rwlTh67AnwJFTt7D1qCLJDEXVSF.jpg,[27],992499,en,Ash and Bone,"The film follows a rebellious teen named Cassie Vanderbilt, whose wild streak escalates as her caring father Lucas decides to take her and his new wife Sarah out of the city for some bonding and quality time together. But after Cassie crosses the infamous McKinley family, it becomes clear that sometimes danger lies hidden in the weeds, ready to strike at any moment.",6.999,/xs5O1wlDzbABYVeRXXGQMuoiItG.jpg,2022-10-04,Ash and Bone,False,4.5,2
False,/6IzVL4qyiCozZcdRFNMUYp9d8v2.jpg,"[27, 35]",1013599,en,Blood Relatives,A nomadic recluse living on the fringes of society reconsiders his bloodthirsty legacy when a teenage girl shows up claiming to be his daughter.,6.28,/esYyXmWtSUEXrInYd7EWIfe2tZy.jpg,2022-09-23,Blood Relatives,False,0,0
False,,[27],1035705,en,8 Found Dead,"Two couples drive to a secluded house in the desert for a weekend getaway, each with their own baggage, expectations, and secrets. Upon their arrival, they’re met by two strangers, claiming to have rented the house as well.",5.668,/1MVBoIBVjkrQm1n1QRaSODSCG1z.jpg,2022-10-17,8 Found Dead,False,0,0
False,,[27],1026836,id,Qodrat,"For decades using ruqyah to help people, Ustadz Qodrat failed to ruqyah his own son, Alif Al-Fatanah who was possessed by a demon named Assuala. Looking for answers to his worries, Qodrat went to the pesantren in the village where he was studying. He found that the place was no longer what it used to be with unexplained disturbances. Qodrat is confronted again with the trauma of having to marry Alif Amri, Yasmin's youngest child who she cannot refuse because of the similarity of her name with her son. In the midst of a soul-crushing test, Qodrat again faces the fury of Assuala. Qodrat had to choose between his choice or rediscovering it.",5.784,/cZKAShMIoxrSKATASsqa3uOCatg.jpg,2022-10-27,Qodrat,False,0,0
False,/fLYl6l1sQJHt7NEmOaOdR6zOEfD.jpg,"[18, 35, 27]",848818,en,Flux Gourmet,"At an institute devoted to culinary and alimentary performance, a collective finds themselves embroiled in power struggles, artistic vendettas and gastrointestinal disorders.",6.472,/gg9jup8MM9HjT7nvQ0h2gKDpi5W.jpg,2022-06-24,Flux Gourmet,False,5.8,15
False,/93TjVHQQ5arQAWILt7ZinAle9DL.jpg,"[27, 53, 12]",982312,en,Frost,A young woman and her estranged father have to fight to survive after being stranded on a remote mountainside during a winter storm.,5.602,/2IIEITMOQACwDCkJc8ilx91OtRR.jpg,2022-10-11,Frost,False,0,0
False,,[27],980128,en,The Killing Tree,"On Christmas Eve, a scorned widow casts an ancient spell to resurrect her executed husband. However, when the spell goes wrong, the husband is brought back as an Evil Christmas Tree. Hell-bent on getting revenge on the one who caused his execution, the body count keeps rising as the Tree hunts her down.",5.304,/lMrnUhvpg8kBTKYXRfQJTamHteY.jpg,2022-11-01,The Killing Tree,False,0,0
False,/hXvIOkgd3H2fyLRc99dOVBAHKSl.jpg,"[27, 53]",879672,en,Flee the Light,A psychology student attempts to cure her sister's crippling psychosis only to expose them both to its origin: an ancient creature intent on claiming their souls.,5.965,/1Iekf4FPMeIFdANzlL4tgy9Bu5n.jpg,2022-02-15,Flee the Light,False,1,1
False,/hMr0e9YLgUbwEYIi1LMT6WNiEF3.jpg,[27],949909,id,Kuntilanak 3,"Dinda who wants to be able to control her power goes to Mata Hati School. A place where a child with special powers learns to control his strengths, but unexpected dangers follow him wherever he goes. Can Dinda survive there?",6.303,/s0MJ12Lf412G3KD3VkNGplHtK48.jpg,2022-04-30,Kuntilanak 3,False,6.8,3
False,,[27],992186,ja,カラダ探し,,3.492,,2022-10-14,カラダ探し,False,0,0
False,,"[27, 53, 14]",994128,es,Viejos,"An octogenarian named Manuel (Zorion Eguileor) falls into a state of dementia after the sudden suicide of his wife, sparking a series of paranormal events that will put his family’s lives at risk. Starting as a grounded drama exploring the indignities of old age, THE ELDERLY gradually snaps off one guardrail after another, building to a crescendo of sheer terror with imagery that can never be unseen. This Spanish horror from directors Raúl Cerezo and Fernando González Gómez (THE PASSENGER) features a heart-stopping lead performance from Eguileor (ALL THE MOONS, THE PLATFORM).",3.371,/lTYLMH1PC8L58UfYSuRPHqYpKKI.jpg,2022-07-16,The Elderly,False,7,4
False,,"[27, 53]",931237,en,Terror Trips,"Six friends start a business providing guided tours to the shooting locations of the world's most famous horror films, until they discover the one spot where the terror is real.",5.67,/EJecpFgApjxIomlBCSAs4SjYxx.jpg,2022-06-14,Terror Trips,False,3.3,6
False,,[27],821954,bn,জতুগৃহ,"Upon taking up a new job, a hotel manager tries to unearth the mystery behind a seemingly haunted manor in the hills.",7.851,/bGZ51fCtjPRxdKtFVTNQIUsslTx.jpg,2022-10-25,Jotugriho,False,0,0
False,/mM2U4ZfXlOXS3KmpGT1zf3OHMuZ.jpg,"[27, 28]",770684,en,The Retaliators,An upstanding pastor uncovers a dark and twisted underworld as he searches for answers surrounding his daughter's brutal murder.,7.85,/C3vBAnh0D8bCZnGhfWb64YJkmD.jpg,2022-09-08,The Retaliators,False,5.4,5
False,,[27],1028710,pt,Marcha pro Morto,Two grave robbers meet the spirit of the tomb they desecrated,7.816,/tRwfEw8Gb5ChooyMwn3SZU2uSnr.jpg,2022-10-25,March for the Dead,False,0,0
False,/5pRoq01p4OEk0yxzWdCxLTBT7fp.jpg,"[28, 878, 12, 27]",992090,en,Jurassic Domination,"When two military-made, weaponized dinosaurs attack a small mountain town, it's up to the sheriff to figure out a way to stop the creatures before the dinos escape and wreak havoc nationwide.",5.37,/gg3zQ1FvWPmKV9qTJBUGXm5hMMi.jpg,2022-07-01,Jurassic Domination,False,5.5,4
False,/8wOxfCWOJglfuYTiXuF1FAP5tjr.jpg,"[35, 53, 27]",821489,en,All My Friends Hate Me,"Genuine but increasingly insecure Pete is cautiously excited about reuniting with his college crew for a birthday weekend of memories, partying and earnest reconnection at a picturesque English manor. Best laid plans, dear audience.",4.741,/cBFdnp7T4tGTwaLI32CmiLGxarV.jpg,2022-03-11,All My Friends Hate Me,False,6.2,36
False,/vhSL6JX4dIaKiU1kBGfH2yEklmE.jpg,"[27, 10749]",660175,en,Edgar Allan Poe's Ligeia,"A young artist, imprisoned within the trammels of opium addiction, relives his phantasmagorical courtship with a mysterious Soprano known only as Ligeia. While exploring these opium induced memories, the lines dividing reality and fantasy, memory and hallucination, begin to blur into an indecipherable labyrinth of obsession and despair. Though he is nursed back to health by a new love, the Lady Rowena, the haunting of Ligeia's memories as well as the spirits of Azrael and Nehushtan, continue to plague his mind and soul.",5.981,/1TnVMl4NZZkt5vMxR5eTrkqdbTo.jpg,2022-10-31,Edgar Allen Poe's Ligeia,False,0,0
False,/zDlRECfUWryMJvQfjRYTIgv1T6v.jpg,[27],934707,en,Blink,"After being violently pushed from a window, Mary wakes up in the hospital, almost completely paralyzed. Trapped inside the prison of her own body, Mary's only way to communicate is by blinking her eyes. She tries to warn the nurse that a sinister, inhuman force is trying to kill her. But when strange things begin happening around her, she realizes it may be too late to stop it.",5.329,/i9d0SOdZMVrwH9zTBFY5yModuSQ.jpg,2022-03-13,Blink,False,8.1,14
False,/sTvhx1gqmQklmf9LDSnjLN6mvTd.jpg,[27],818883,es,Diavlo,"A young American nurse finds herself haunted by childhood trauma, when she is employed at a remote house to care for a sinister old man with psychic powers.",5.415,/47xEQRZrfBPCSWgKpScLuXIsJxL.jpg,2022-04-28,The Devil's Child,False,6.8,8
False,,"[878, 27]",1006437,en,The Area 51 Incident,An outbreak occurs in the infamous Area 51 leading a group of survivors to an underground bunker.. only to learn.. they are not alone.,6.256,/6VZjAOaFmSnQgyjsATWTPw0c1yM.jpg,2022-11-01,The Area 51 Incident,False,0,0
False,,[27],1006238,fr,Ha non ! Mais si,,5.976,/5kxLHdjfTvw5OM6nMzr93cbFzi4.jpg,2022-10-26,Ha non ! Mais si,False,0,0
False,/hp34FQVZrOkEGSokJYerwfv9QDN.jpg,"[27, 53]",812320,en,Slapface,A boy deals with the loss of his mother by creating a relationship with a dangerous monster.,7.48,/xFR5TrTfhjaKN2z17rP09hoQXXs.jpg,2022-04-21,Slapface,False,4.5,13
False,/dsZoNAGqhOBFA7gF0f2OZoomTOb.jpg,"[27, 37]",987912,en,Blackwood,"Dowanhowee, a Native American woman, evades the notorious Dutch Wilder Gang by escaping into the uncharted Black Wood Forest. Once inside, they quickly discover they must help each other for they have unknowingly awaken an ancient ravenous creature, known as The Wendigo.",5.937,/oFtsst7wMLG0AH8cfYxmIWyrxLw.jpg,2022-07-22,Blackwood,False,3.7,6
False,/ouN6tUnlwhN0IgtnEI4ADIE6V3g.jpg,"[27, 36]",854881,en,The Haunting of the Tower of London,"The Two Princes, imprisoned and allegedly murdered in the Bloody Tower within the Tower Of London by Richard III. The story tells how they allegedly came back to haunt the Tower and with guards and inmates starting to die in horrible circumstances, it becomes clear the Two Princes are out for revenge. A chilling ghost story based on the famous mystery.",5.892,/bTapbNKXTb6E9jZ7DgAnRmPlkZK.jpg,2022-06-27,The Haunting of the Tower of London,False,6.2,6
False,/1n9CEVfvF2DxvUMcCXiZHjNdM45.jpg,"[53, 27]",947612,en,Exploited,"A college freshman becomes obsessed with the previous owner of his school issued laptop, a webcam model whose last session may have ended in murder.",6.48,/pLwJk6KC7YbFLbJxbPAcl5Jgnow.jpg,2022-01-28,Exploited,False,6.1,4
